Stoffcode;Stofflieferant;Herstellungsland;Lager;Bestellte Menge;Voraussichtliches Empfangsdatum;Status;Preiskat;Zusammensetzung;Gewicht;Eigenschaften;Katalog;Produkttyp;Stoffart;Stofffarbe;Saison;MTO
695.401/18;VITALE BARBERIS;Italy;213.23 m;210 m;23/12/2025;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 1;Anzug;Plain;Grey;4 Jahreszeiten;No
595.401/3;VITALE BARBERIS;Italy;92.8 m;140 m;23/12/2025;MTM QS;4;100% Schurwolle;240 gr/ml;Standard;C1SEV1/1 | 2;Anzug;Plain;Grey;4 Jahreszeiten;Yes
695.401/2;VITALE BARBERIS;Italy;189.41 m;770 m;11/01/2026;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 3;Anzug;Plain;Grey;4 Jahreszeiten;No
695.401/6;VITALE BARBERIS;Italy;173.95 m;280 m;23/12/2025;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 4;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
695.401/43;VITALE BARBERIS;Italy;156.21 m;350 m;23/12/2025;MTM QS;5;100% Schurwolle;250 gr/ml;Standard;C1SEV1/1 | 5;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
595.201/8;VITALE BARBERIS;Italy;187.59 m;560 m;23/12/2025;MTM QS;4;100% Schurwolle;240 gr/ml;Standard;C1SEV1/1 | 6;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.861/120;VITALE BARBERIS;Italy;266.53 m;560 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 7;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.861/122;VITALE BARBERIS;Italy;220.77 m;280 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 8;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.861/10;VITALE BARBERIS;Italy;277.45 m;70 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 9;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.801/4;VITALE BARBERIS;Italy;196.6 m;280 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 10;Anzug;Plain;Grey;4 Jahreszeiten;Yes
586.801/6;VITALE BARBERIS;Italy;160.19 m;420 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 11;Anzug;Plain;Grey;4 Jahreszeiten;Yes
887.601/5730;VITALE BARBERIS;Italy;816.07 m;1890 m;23/12/2025;MTM QS;6;100% Wolle;250 gr/ml;Standard;C1SEV1/1 | 12;Anzug;Plain;Black;4 Jahreszeiten;Yes
586.861/780;VITALE BARBERIS;Italy;120.69 m;420 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 13;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.861/813;VITALE BARBERIS;Italy;357.13 m;210 m;26/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 14;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
586.861/779;VITALE BARBERIS;Italy;2658.32 m;1670 m;11/01/2026;MTM QS;6;100% Wolle;260 gr/ml;Standard;C1SEV1/1 | 15;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
886.601/5966;VITALE BARBERIS;Italy;213.48 m;490 m;26/12/2025;MTM QS;6;100% Schurwolle;270 gr/ml;Standard;C1SEV1/1 | 16;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.861/736;VITALE BARBERIS;Italy;379.78 m;245 m;23/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 17;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
586.801/62;VITALE BARBERIS;Italy;531.8 m;4550 m;11/01/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 18;Anzug;Plain;Blue/Navy;4 Jahreszeiten;Yes
496.513/5;VITALE BARBERIS;Italy;25.44 m;280 m;26/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 19;Anzug;Plain;Beige;4 Jahreszeiten;No
496.513/6;VITALE BARBERIS;Italy;269.56 m;Keine aktiven Bestellungen für diesen Stoff;Keine aktiven Bestellungen für diesen Stoff;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 20;Anzug;Plain;Brown;4 Jahreszeiten;No
496.513/8;VITALE BARBERIS;Italy;47.29 m;280 m;11/03/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 21;Anzug;Plain;Black;4 Jahreszeiten;No
496.513/1;VITALE BARBERIS;Italy;68.04 m;280 m;11/03/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 22;Anzug;Plain;Grey;4 Jahreszeiten;No
496.513/3;VITALE BARBERIS;Italy;45 m;279.5 m;26/12/2025;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 23;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
496.513/4;VITALE BARBERIS;Italy;60.41 m;280 m;11/03/2026;MTM QS;6;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 24;Anzug;Plain;Blue/Navy;4 Jahreszeiten;No
496.514/8;VITALE BARBERIS;Italy;73.81 m;350 m;11/02/2026;MTM QS;7;100% Schurwolle;260 gr/ml;Standard;C1SEV1/1 | 25;Anzug;Plain;Brown;4 Jahreszeiten;No
